Term                           IDF                           
век                            2.1139                        
тёплый                         1.6368                        
температура                    2.1139                        
стареть                        1.8129                        
коррозия                       2.1139                        
множество                      1.6368                        
наполниться                    2.1139                        
необыкновенный                 2.1139                        
необъятный                     1.8129                        
полёт                          1.6368                        
чертовый                       2.1139                        
лететь                         1.5119                        
ошалелый                       2.1139                        
ловить                         2.1139                        
откладывать                    2.1139                        
засыпать                       1.5119                        
спокойный                      1.5119                        
овечка                         2.1139                        
прошептать                     2.1139                        
держать                        1.415                         
снеговик                       2.1139                        
сто                            1.8129                        
вечность                       2.1139                        
простоять                      2.1139                        
наш                            1.3358                        
замёрзнуть                     1.8129                        
видный                         1.8129                        
камин                          2.1139                        
мурмур                         1.8129                        
гавань                         1.8129                        
пароход                        2.1139                        
катать                         2.1139                        
клубок                         1.8129                        
впиться                        2.1139                        
иголка                         1.6368                        
грусть                         1.2109                        
отрывать                       2.1139                        
перо                           1.8129                        
граница                        1.8129                        
остановка                      1.6368                        
перекрёсток                    2.1139                        
съезд                          2.1139                        
различный                      2.1139                        
секта                          2.1139                        
талдычить                      2.1139                        
правильный                     2.1139                        
сатанический                   2.1139                        
место                          1.0726                        
уголок                         1.8129                        
ободрать                       2.1139                        
махать                         2.1139                        
кот                            2.1139                        
играться                       1.8129                        
нечто                          2.1139                        
дьявольский                    2.1139                        
теснота                        2.1139                        
вываливать                     2.1139                        
рвота                          2.1139                        
отбить                         2.1139                        
матрос                         2.1139                        
блевота                        2.1139                        
морской                        1.3358                        
болезнь                        1.2109                        
швабра                         2.1139                        
нищета                         2.1139                        
бездна                         1.8129                        
оторвать                       1.8129                        
синтетический                  2.1139                        
будить                         1.6368                        
зверь                          2.1139                        
дождливый                      2.1139                        
пожар                          1.8129                        
утонуть                        1.3358                        
плавать                        1.8129                        
бред                           1.8129                        
язык                           1.415                         
блик                           2.1139                        
край                           1.8129                        
мурлыкать                      2.1139                        
пол                            1.3358                        
разорвать                      1.5119                        
очаровательность               1.8129                        
крепость                       1.8129                        
холодное                       1.2688                        
бешеный                        1.8129                        
творить                        1.8129                        
привычно                       2.1139                        
голый                          1.6368                        
о                              1.6368                        
ощущать                        1.0726                        
топот                          2.1139                        
лошадь                         2.1139                        
нестись                        2.1139                        
услышать                       1.415                         
среди                          1.415                         
шум                            1.415                         
шёпот                          1.8129                        
двухстволк                     2.1139                        
глупый                         1.3358                        
скользить                      1.2109                        
гладкий                        2.1139                        
поверхность                    1.3358                        
выблёвывать                    2.1139                        
мерзость                       2.1139                        
наполнять                      1.2688                        
образ                          1.2688                        
плавно                         2.1139                        
погружаться                    2.1139                        
постоянно                      1.2109                        
надеяться                      1.8129                        
душевный                       1.5119                        
безумство                      2.1139                        
беспокоить                     1.8129                        
темнота                        1.0726                        
ковёр                          2.1139                        
пуля                           1.8129                        
страдать                       1.3358                        
вид                            1.8129                        
нарисовать                     1.5119                        
поле                           1.2688                        
жадно                          1.8129                        
глотать                        2.1139                        
чудовищно                      2.1139                        
конец                          1.1597                        
бежать                         1.3358                        
разделять                      1.8129                        
искать                         0.9379                        
разрисовать                    2.1139                        
менять                         1.6368                        
повторять                      1.3358                        
блю                            2.1139                        
лю                             2.1139                        
кашлять                        1.8129                        
пыльный                        1.8129                        
вспоминать                     2.1139                        
цветок                         1.5119                        
казанский                      1.6368                        
ежедневно                      2.1139                        
лунный                         1.5119                        
фон                            2.1139                        
след                           1.415                         
приковать                      1.6368                        
приглушить                     1.6368                        
синтетически                   2.1139                        
избежать                       1.5119                        
жадный                         2.1139                        
лишить                         2.1139                        
деструктивный                  2.1139                        
невпопад                       2.1139                        
нервно                         1.8129                        
тыкаться                       2.1139                        
безумный                       1.8129                        
вандал                         2.1139                        
построить                      1.3358                        
сюрреал                        2.1139                        
эхо                            2.1139                        
пытка                          2.1139                        
приговорить                    2.1139                        
удлинённый                     2.1139                        
трубопровод                    2.1139                        
остриё                         1.5119                        
пробить                        1.6368                        
паутина                        1.6368                        
застрять                       2.1139                        
валиться                       2.1139                        
вместе                         1.5119                        
кухня                          1.8129                        
посуда                         2.1139                        
мытый                          2.1139                        
вдребезги                      2.1139                        
разбиваться                    2.1139                        
сухой                          1.8129                        
керамика                       2.1139                        
память                         1.8129                        
горько                         1.6368                        
мычать                         1.6368                        
бас                            2.1139                        
ладонь                         1.3358                        
возвращаться                   1.6368                        
лампа                          1.6368                        
накал                          2.1139                        
бесхребетный                   2.1139                        
возвращать                     2.1139                        
белый                          1.0348                        
бумага                         1.8129                        
водоворот                      1.5119                        
выбрать                        1.8129                        
растаять                       1.8129                        
вечером                        2.1139                        
ложиться                       1.6368                        
утром                          1.5119                        
волна                          1.0348                        
зыбкий                         2.1139                        
нескоро                        2.1139                        
кончиться                      2.1139                        
забывать                       1.415                         
трясти                         1.8129                        
рьяно                          2.1139                        
заставлять                     1.5119                        
объятие                        1.8129                        
танец                          1.6368                        
никак                          1.3358                        
мечтать                        1.415                         
дивный                         2.1139                        
новый                          1.2109                        
несбыточный                    1.8129                        
утопия                         2.1139                        
ливень                         1.8129                        
паровозный                     2.1139                        
трудолюбие                     2.1139                        
сокровищница                   2.1139                        
обмотаться                     2.1139                        
эхнатонский                    2.1139                        
мумия                          1.8129                        
избегать                       2.1139                        
пирамидный                     2.1139                        
австрийский                    2.1139                        
документ                       2.1139                        
ночлег                         2.1139                        
грязный                        1.5119                        
чердак                         2.1139                        
влюбить                        1.8129                        
всепоглощающий                 2.1139                        
сантименты                     2.1139                        
лёгкий                         1.3358                        
летать                         1.8129                        
окрылить                       2.1139                        
космический                    1.8129                        
конфетти                       2.1139                        
устроить                       2.1139                        
незабываемый                   2.1139                        
обмечтаться                    2.1139                        
вперёд                         1.8129                        
заплетаться                    2.1139                        
слово                          0.716                         
направляться                   1.8129                        
личный                         0.9098                        
бха                            2.1139                        
р                              2.1139                        
вселенная                      1.6368                        
океан                          1.0                           
сансар                         2.1139                        
фото                           1.5119                        
vii                            1.8129                        
authorsphoto                   0.8129                        
аспид                          1.8129                        
аэродром                       2.1139                        
основа                         2.1139                        
создаваться                    2.1139                        
одинокий                       1.415                         
дорога                         1.415                         
отгладить                      2.1139                        
домой                          1.8129                        
ожидать                        1.5119                        
прописать                      2.1139                        
необходимо                     2.1139                        
смена                          1.8129                        
ночь                           0.9098                        
больной                        1.2109                        
протягивать                    2.1139                        
запоминать                     2.1139                        
помада                         1.8129                        
душить                         1.5119                        
прийти                         1.6368                        
глагол                         2.1139                        
заканчиваться                  2.1139                        
назло                          2.1139                        
оттенок                        2.1139                        
улыбка                         1.5119                        
склонить                       2.1139                        
ветка                          1.8129                        
выход                          2.1139                        
усечь                          2.1139                        
фейк                           2.1139                        
увеличиваться                  2.1139                        
прогрессия                     2.1139                        
фонарь                         1.415                         
станцевать                     2.1139                        
туман                          1.415                         
vi                             1.8129                        
твердь                         2.1139                        
земной                         1.8129                        
август                         1.6368                        
стеречь                        2.1139                        
воровской                      2.1139                        
ласкать                        1.8129                        
оконный                        2.1139                        
задымляться                    2.1139                        
дым                            1.1139                        
пусть                          1.0348                        
житься                         2.1139                        
сладко                         1.8129                        
безусловно                     2.1139                        
внутривенный                   2.1139                        
рак                            1.8129                        
развиваться                    2.1139                        
злой                           1.6368                        
обволакивать                   2.1139                        
шар                            1.6368                        
кружиться                      1.6368                        
подобно                        1.3358                        
наматывать                     2.1139                        
шея                            1.2109                        
тушить                         1.8129                        
свеча                          2.1139                        
таять                          1.6368                        
безмятежно                     1.6368                        
мокрый                         1.8129                        
превращаться                   1.6368                        
скоро                          1.8129                        
превратиться                   1.5119                        
согревать                      1.8129                        
призывать                      1.6368                        
грубый                         1.5119                        
спина                          1.3358                        
скрывать                       1.6368                        
опасность                      2.1139                        
секунда                        1.6368                        
мертвецки                      2.1139                        
нить                           1.5119                        
умерщвлять                     2.1139                        
месяц                          2.1139                        
просить                        1.415                         
прочный                        2.1139                        
возвышаться                    2.1139                        
рот                            1.3358                        
литься                         1.8129                        
статуя                         2.1139                        
бессмертный                    2.1139                        
врать                          1.415                         
лупа                           2.1139                        
искажать                       2.1139                        
оборачиваться                  2.1139                        
издать                         2.1139                        
испугаться                     1.8129                        
острота                        2.1139                        
клин                           1.8129                        
поднять                        2.1139                        
одичалый                       2.1139                        
трамвай                        1.6368                        
разрезать                      1.415                         
острый                         1.415                         
проконтролировать              2.1139                        
регулировщик                   2.1139                        
зима                           1.415                         
отрезвлять                     2.1139                        
сжигать                        1.5119                        
остаток                        1.5119                        
листва                         2.1139                        
состоять                       1.8129                        
textlink                       1.1139                        
amourety                       1.0                           
сообщение                      0.9098                        
добавить                       1.0348                        
избранный                      1.1139                        
b                              1.0348                        
bookheader                     1.1139                        
войти                          1.2688                        
сборник                        1.2109                        
font                           1.1139                        
small                          1.0348                        
альбом                         1.1139                        
square                         1.1139                        
poemlink                       1.1139                        
гражданский                    1.1597                        
мило                           1.8129                        
любовный                       1.1139                        
otium                          1.8129                        
смыть                          1.8129                        
взять                          1.3358                        
подошва                        1.8129                        
октябрь                        1.8129                        
вольный                        1.415                         
загробный                      1.8129                        
философский                    1.1597                        
гибнуть                        1.8129                        
стучать                        1.6368                        
поезд                          1.415                         
cпасибо                        1.8129                        
delete                         1.8129                        
спрашивать                     1.8129                        
грань                          1.5119                        
огниво                         1.8129                        
момент                         1.415                         
ради                           1.6368                        
поршень                        1.8129                        
сталь                          1.8129                        
жёлтый                         1.6368                        
точка                          1.5119                        
кипение                        1.8129                        
абжурд                         1.8129                        
война                          1.8129                        
собачьё                        1.8129                        
добрый                         1.415                         
продолжение                    1.1597                        
rarr                           1.8129                        
recomlink                      1.1139                        
ощущение                       1.5119                        
больно                         1.415                         
убить                          1.2688                        
закопать                       2.1139                        
могильник                      2.1139                        
музыка                         1.6368                        
роман                          2.1139                        
починить                       2.1139                        
воздух                         1.5119                        
кровь                          1.2109                        
жила                           2.1139                        
дорогой                        1.8129                        
погрести                       2.1139                        
могила                         1.8129                        
радовать                       1.8129                        
грустно                        1.2688                        
усталость                      1.5119                        
вмешательство                  1.8129                        
ургентный                      2.1139                        
вмешиваться                    2.1139                        
одиночество                    1.6368                        
улица                          1.0348                        
эгоистичный                    1.6368                        
подсознание                    2.1139                        
рецепт                         2.1139                        
потерять                       1.2109                        
внедряться                     2.1139                        
пространство                   1.8129                        
испепелять                     2.1139                        
вправду                        1.5119                        
часть                          1.3358                        
интересовать                   1.8129                        
знакомый                       1.5119                        
тугой                          1.8129                        
преграда                       1.8129                        
тень                           1.3358                        
столб                          2.1139                        
человечность                   1.8129                        
зов                            2.1139                        
ниоткуда                       2.1139                        
остановить                     1.8129                        
конечность                     1.6368                        
попробовать                    1.8129                        
пудинг                         2.1139                        
вкус                           1.8129                        
самолично                      2.1139                        
колотить                       2.1139                        
замечать                       1.5119                        
мимикрировать                  2.1139                        
слепо                          1.8129                        
урбанистический                2.1139                        
осязаемость                    2.1139                        
людская                        1.415                         
масса                          1.8129                        
объёмность                     2.1139                        
письмо                         2.1139                        
вытеснять                      2.1139                        
фраза                          1.6368                        
теневой                        2.1139                        
эверест                        2.1139                        
туманный                       1.5119                        
песня                          1.5119                        
эгоизм                         2.1139                        
скупой                         1.8129                        
цепочка                        2.1139                        
падение                        1.5119                        
призма                         2.1139                        
засохнуть                      2.1139                        
палка                          2.1139                        
теребить                       1.8129                        
колено                         1.2688                        
очередь                        1.8129                        
недостаток                     2.1139                        
торопиться                     1.8129                        
интерес                        2.1139                        
синтетик                       1.6368                        
просыпаться                    1.6368                        
комод                          1.8129                        
заменитель                     2.1139                        
разговаривать                  2.1139                        
погода                         1.8129                        
вкусный                        2.1139                        
еда                            1.8129                        
родитель                       1.6368                        
разглядывать                   2.1139                        
иконка                         2.1139                        
сжирать                        1.8129                        
указатель                      2.1139                        
сидеть                         1.0726                        
направлять                     2.1139                        
смущаться                      2.1139                        
бедро                          2.1139                        
прикосновение                  1.6368                        
сквозь                         1.415                         
прорываться                    2.1139                        
повторяться                    2.1139                        
вроде                          1.6368                        
гаснуть                        2.1139                        
сотовый                        2.1139                        
осознать                       2.1139                        
мантра                         2.1139                        
имя                            1.415                         
тишина                         1.415                         
перенос                        2.1139                        
рыба                           1.8129                        
сожрать                        2.1139                        
либо                           2.1139                        
цвета                          2.1139                        
поздно                         1.8129                        
перевернуть                    1.6368                        
старательно                    2.1139                        
ускориться                     2.1139                        
грязно                         2.1139                        
выбрасывать                    2.1139                        
бесконечный                    1.5119                        
аллергия                       2.1139                        
этап                           2.1139                        
вероятно                       2.1139                        
накаркать                      2.1139                        
переносить                     2.1139                        
будущее                        1.6368                        
четырехперечислить             2.1139                        
стихия                         2.1139                        
встреча                        1.8129                        
бесконечность                  1.6368                        
плыть                          1.2109                        
акула                          2.1139                        
срезать                        2.1139                        
коварный                       2.1139                        
обмануть                       1.6368                        
глотка                         1.8129                        
покой                          2.1139                        
гнетущий                       2.1139                        
оседать                        2.1139                        
хруст                          2.1139                        
уронить                        2.1139                        
сломать                        1.8129                        
окружить                       1.8129                        
стараться                      2.1139                        
полюбить                       1.8129                        
вьюга                          2.1139                        
встретить                      2.1139                        
хохот                          2.1139                        
близкий                        1.6368                        
марс                           2.1139                        
прижать                        1.8129                        
жуткий                         1.8129                        
стон                           1.5119                        
крепко                         2.1139                        
осадок                         2.1139                        
мозг                           2.1139                        
отложиться                     2.1139                        
похоже                         1.415                         
венера                         2.1139                        
привычный                      2.1139                        
бороться                       2.1139                        
громко                         1.3358                        
неприлично                     2.1139                        
покрыться                      2.1139                        
кроткий                        2.1139                        
отрезать                       1.6368                        
попытка                        1.8129                        
мыло                           2.1139                        
травить                        1.8129                        
хромать                        2.1139                        
ненавидеть                     1.415                         
иллюзорный                     1.6368                        
подавлять                      1.8129                        
личность                       2.1139                        
подавляюще                     2.1139                        
проглотить                     2.1139                        
жалеть                         2.1139                        
молиться                       2.1139                        
догнать                        2.1139                        
упрёк                          1.8129                        
дорожить                       1.8129                        
уйти                           1.1597                        
неизвестность                  2.1139                        
осадка                         2.1139                        
удержать                       2.1139                        
горло                          1.6368                        
финал                          2.1139                        
стул                           1.415                         
альбион                        1.8129                        
туча                           1.3358                        
шептать                        1.6368                        
лаять                          2.1139                        
бездонный                      1.8129                        
ворковать                      2.1139                        
человеческий                   1.5119                        
счастие                        1.1139                        
медный                         2.1139                        
рисовать                       1.8129                        
контур                         2.1139                        
показывать                     2.1139                        
голод                          1.415                         
кусок                          2.1139                        
хлеб                           2.1139                        
мяукать                        2.1139                        
понятно                        1.8129                        
левиафан                       2.1139                        
потянуть                       2.1139                        
донышко                        2.1139                        
ракушка                        2.1139                        
водоросль                      2.1139                        
собака                         1.6368                        
вода                           1.1139                        
пробраться                     2.1139                        
кипеть                         1.8129                        
смола                          2.1139                        
дёрнуть                        2.1139                        
волос                          1.5119                        
потерянный                     1.415                         
счастливый                     1.8129                        
протяжение                     2.1139                        
листок                         2.1139                        
опустеть                       1.8129                        
строка                         1.8129                        
проклинать                     2.1139                        
вчерашний                      2.1139                        
гадость                        1.6368                        
намертво                       2.1139                        
вчера                          1.6368                        
понять                         1.6368                        
тягостный                      2.1139                        
туловище                       1.8129                        
калека                         1.8129                        
впаять                         2.1139                        
паяльник                       2.1139                        
объяснить                      2.1139                        
пить                           1.8129                        
обозвать                       2.1139                        
художество                     2.1139                        
подтверждать                   2.1139                        
бесполезный                    2.1139                        
резко                          1.8129                        
переходить                     2.1139                        
безлюдный                      2.1139                        
аллея                          2.1139                        
возможно                       1.5119                        
логично                        2.1139                        
идеализм                       2.1139                        
править                        1.6368                        
кстати                         2.1139                        
душонка                        2.1139                        
многий                         2.1139                        
реконструировать               2.1139                        
рюмка                          2.1139                        
сытый                          2.1139                        
плен                           2.1139                        
трудоголик                     2.1139                        
политик                        2.1139                        
массовый                       2.1139                        
туризм                         2.1139                        
